id,churn_probability
69999,0.0045
70000,0.0105
70001,1.281
70002,0.0195
70003,0.0075
70004,1.3515
70005,0.0045
70006,0.0645
70007,0.0045
70008,0.228
70009,0.0045
70010,0.006
70011,0.0015
70012,0.018
70013,0.0165
70014,0.036
70015,0.0075
70016,0.042
70017,0.006
70018,0.006
70019,1.26
70020,0.0315
70021,0.0015
70022,0.012
70023,0.0075
70024,0.0045
70025,0.0105
70026,0.003
70027,0.0075
70028,0.0045
70029,0.009
70030,0.006
70031,0.006
70032,0.7635
70033,0.0075
70034,0.003
70035,0.015
70036,0.0075
70037,0.0855
70038,0.0015
70039,0.006
70040,0.003
70041,1.2225
70042,0.006
70043,0.0075
70044,0.0075
70045,0.0105
70046,0.012
70047,0.012
70048,0.0075
70049,0.018
70050,0.0075
70051,0.009
70052,0.003
70053,0.0045
70054,0.0045
70055,0.009
70056,0.009
70057,0.006
70058,0.0045
70059,0.0045
70060,0.003
70061,0.0045
70062,0.0105
70063,0.0045
70064,0.0075
70065,0.006
70066,0.0195
70067,0.048
70068,0.006
70069,0.0045
70070,0.0045
70071,0.006
70072,0.0075
70073,1.1985
70074,0.0105
70075,0.0075
70076,0.003
70077,0.003
70078,1.26
70079,0.0525
70080,0.3195
70081,1.2915
70082,0.873
70083,0.006
70084,0.0105
70085,1.359
70086,0.009
70087,0.009
70088,0.009
70089,0.0105
70090,0.0375
70091,0.006
70092,0.015
70093,0.003
70094,0.0075
70095,1.1775
70096,0.009
70097,0.012
70098,0.0015
70099,0.03
70100,0.003
70101,0.0465
70102,0.0015
70103,0.009
70104,0.006
70105,0.0105
70106,0.003
70107,0.0135
70108,0.006
70109,0.006
70110,0.0105
70111,1.2525
70112,0.012
70113,0.003
70114,0.0075
70115,0.0015
70116,0.0645
70117,0.0195
70118,1.128
70119,0.003
70120,0.0135
70121,0.006
70122,0.0075
70123,0.003
70124,0.057
70125,0.0075
70126,0.003
70127,1.1625
70128,0.006
70129,0.0135
70130,1.323
70131,0.0045
70132,0.015
70133,0.009
70134,0.006
70135,0.0075
70136,0.0075
70137,0.0735
70138,0.0075
70139,0.006
70140,0.027
70141,0.009
70142,0.006
70143,0.0015
70144,0.009
70145,0.009
70146,0.0105
70147,0.006
70148,0.0195
70149,0.0045
70150,0.0045
70151,0.003
70152,0.006
70153,0.0015
70154,0.0045
70155,0.0075
70156,0.0135
70157,0.003
70158,1.2165
70159,0.009
70160,0.0075
70161,0.021
70162,0.003
70163,0.165
70164,0.006
70165,0.0315
70166,0.0045
70167,0.0015
70168,0.0165
70169,0.003
70170,0.012
70171,0.003
70172,0.009
70173,0.0075
70174,0.0015
70175,0.003
70176,0.0075
70177,0.0105
70178,0.009
70179,0.009
